user_id,reason
U000,完成转化
U001,完成转化
U002,完成转化
U003,完成转化
U004,完成转化
U005,完成转化
U006,完成转化
U007,完成转化
U008,完成转化
U009,完成转化
U010,完成转化
U011,完成转化
U012,完成转化
U013,完成转化
U014,完成转化
U015,完成转化
U016,完成转化
U017,完成转化
U018,完成转化
U019,完成转化
U020,完成转化
U021,完成转化
U022,完成转化
U023,完成转化
U024,完成转化
U025,完成转化
U026,完成转化
U027,完成转化
U028,完成转化
U029,完成转化
U030,完成转化
U031,完成转化
U032,完成转化
U033,完成转化
U034,完成转化
U035,完成转化
U036,完成转化
U037,完成转化
U038,完成转化
U039,完成转化
U040,领取超时
U041,领取超时
U042,领取超时
U043,领取超时
U044,领取超时
U045,领取超时
U046,领取超时
U047,领取超时
U048,领取超时
U049,领取超时
U050,有效点击后无领取
U051,有效点击后无领取
U052,有效点击后无领取
U053,有效点击后无领取
U054,有效点击后无领取
U055,有效点击后无领取
U056,有效点击后无领取
U057,有效点击后无领取
U058,有效点击后无领取
U059,有效点击后无领取
U060,有效点击后无领取
U061,有效点击后无领取
U062,有效点击后无领取
U063,有效点击后无领取
U064,有效点击后无领取
U065,有效点击后无领取
U066,有效点击后无领取
U067,有效点击后无领取
U068,有效点击后无领取
U069,有效点击后无领取
U070,无有效点击
U071,无有效点击
U072,无有效点击
U073,无有效点击
U074,无有效点击
U075,无有效点击
U076,无有效点击
U077,无有效点击
U078,无有效点击
U079,无有效点击
U080,无有效点击
U081,无有效点击
U082,无有效点击
U083,无有效点击
U084,无有效点击
U085,无有效点击
U086,无有效点击
U087,无有效点击
U088,无有效点击
U089,无有效点击
U090,无有效点击
U091,无有效点击
U092,无有效点击
U093,无有效点击
U094,无有效点击
U095,无有效点击
U096,无有效点击
U097,无有效点击
U098,无有效点击
U099,无有效点击
