日期,开盘,收盘,最高,最低
2026-08-03,101.183471,103.290923,103.897492,100.395166
2026-08-04,102.42882,104.631662,105.980997,101.263594
2026-08-05,103.506969,101.717542,105.263925,100.948262
2026-08-06,103.239844,102.830886,104.225943,101.169908
2026-08-07,104.465178,106.223749,107.710225,103.475644
2026-08-10,105.652427,106.429111,107.19308,103.915336
2026-08-11,106.312355,105.986983,106.647786,105.148383
2026-08-12,107.826801,106.221083,109.558982,105.338483
2026-08-13,106.648315,107.541059,108.023045,105.277235
2026-08-14,105.876807,107.740861,108.022442,104.446703
2026-08-17,107.047879,105.042697,107.968102,103.408749
2026-08-18,108.307963,108.940147,109.74518,107.564998
2026-08-19,109.9197,108.686852,110.449618,107.320103
2026-08-20,110.347002,109.656987,110.719103,109.008883
2026-08-21,110.754501,111.714438,113.130752,110.507982
2026-08-24,109.722966,111.174593,112.952532,108.433143
2026-08-25,111.634148,112.46197,112.689131,110.208827
2026-08-26,110.119418,109.156409,111.079802,108.295753
2026-08-27,110.298276,111.551442,111.983839,109.96379
2026-08-28,110.030403,109.319863,111.891518,107.571917
2026-08-31,111.183453,110.29434,112.43442,108.415718
2026-09-01,112.084622,112.986954,114.95445,110.299674
2026-09-02,112.320234,113.536792,113.856466,112.084694
2026-09-03,113.680082,115.629526,117.044339,112.270358
2026-09-04,112.852493,110.344406,114.071772,109.603342
