版本,响应,IQR候选异常
A,185.346557,False
A,184.34861,False
A,197.382715,False
A,174.868933,False
A,206.535374,False
A,137.132332,False
A,164.985798,False
A,225.57867,False
A,305.421506,True
A,247.47993,False
A,173.264833,False
A,167.800114,False
A,192.837855,False
A,201.613218,False
A,242.1563,False
A,190.983113,False
A,287.015929,True
A,148.183874,False
A,132.407643,False
A,122.273577,False
A,247.657906,False
A,147.099256,False
A,227.516623,False
A,104.134591,False
A,233.40687,False
A,164.113225,False
A,194.993324,False
A,189.080273,False
A,156.565348,False
A,118.9248,False
A,136.043943,False
A,166.632688,False
A,136.128747,False
A,168.288295,False
A,196.945099,False
A,173.459242,False
A,117.218057,False
A,259.407542,False
A,260.134584,False
A,130.919111,False
A,169.974182,False
A,138.523509,False
A,256.220331,False
A,265.252137,False
A,144.154222,False
A,208.086174,False
A,157.679281,False
A,228.51492,False
A,184.339371,False
A,189.286739,False
A,180.602989,False
A,197.121734,False
A,197.309209,False
A,221.328051,False
A,128.153593,False
A,214.245252,False
A,114.523794,False
A,252.352361,False
A,135.922516,False
A,190.479633,False
A,159.553488,False
A,153.574181,False
A,204.646673,False
A,183.835486,False
A,135.15427,False
A,200.874402,False
A,174.454211,False
A,259.773547,False
A,210.419104,False
A,172.660002,False
A,186.991794,False
A,157.381028,False
A,164.177903,False
A,174.558793,False
A,216.365746,False
A,168.140804,False
A,123.815295,False
A,152.144518,False
A,211.185992,False
A,164.611747,False
A,157.917763,False
A,147.477955,False
A,191.643711,False
A,180.981742,False
A,108.92881,False
A,208.288087,False
A,139.866754,False
A,125.654638,False
A,177.650065,False
A,232.459429,False
A,141.191396,False
A,197.36969,False
A,211.747332,False
A,176.545195,False
A,240.414329,False
A,175.875119,False
A,182.16728,False
A,196.260455,False
A,162.955134,False
A,248.666255,False
A,800,True
B,183.270698,False
B,101.573337,False
B,156.06989,False
B,90.7874321,False
B,142.945201,False
B,118.935081,False
B,193.119763,False
B,136.198518,False
B,198.36394,False
B,183.338522,False
B,171.662543,False
B,159.171083,False
B,139.648632,False
B,121.910736,False
B,115.965565,False
B,135.133212,False
B,145.794193,False
B,214.913089,False
B,215.406377,False
B,101.85021,False
B,180.809121,False
B,115.164195,False
B,159.452515,False
B,161.192859,False
B,164.453064,False
B,124.103313,False
B,165.583321,False
B,144.904751,False
B,127.24203,False
B,111.580454,False
B,136.758261,False
B,211.644515,False
B,152.923331,False
B,122.159012,False
B,220.813979,False
B,183.126633,False
B,116.854777,False
B,104.955107,False
B,210.093478,False
B,101.26495,False
B,167.916587,False
B,108.650788,False
B,125.08639,False
B,149.939328,False
B,181.400766,False
B,154.093028,False
B,179.758036,False
B,176.375953,False
B,129.824771,False
B,117.27593,False
B,131.147111,False
B,157.599401,False
B,174.533616,False
B,130.833987,False
B,142.395126,False
B,162.939418,False
B,189.600231,False
B,119.625831,False
B,113.104637,False
B,140.486735,False
B,150.386705,False
B,201.328492,False
B,140.165699,False
B,131.841119,False
B,215.399445,False
B,172.242495,False
B,149.968829,False
B,213.142123,False
B,230.729609,False
B,226.036142,False
B,133.879283,False
B,111.826303,False
B,154.414967,False
B,104.50311,False
B,182.113175,False
B,225.385231,False
B,120.785014,False
B,168.067394,False
B,136.71828,False
B,160.151559,False
B,113.784104,False
B,223.078276,False
B,134.763969,False
B,119.026667,False
B,171.786405,False
B,212.089834,False
B,144.236018,False
B,142.197524,False
B,119.063831,False
B,317.44687,True
B,187.137477,False
B,135.531277,False
B,180.764703,False
B,174.765924,False
B,164.040953,False
B,183.837289,False
B,205.002455,False
B,215.978423,False
B,159.945783,False
B,177.091047,False
B,720,True
C,132.435579,False
C,157.327621,False
C,157.821768,False
C,141.869177,False
C,98.0482496,False
C,173.786553,False
C,137.429964,False
C,129.124599,False
C,179.798775,False
C,159.239925,False
C,157.580705,False
C,141.703928,False
C,131.585367,False
C,117.090527,False
C,167.42734,False
C,208.740875,False
C,145.028304,False
C,125.181723,False
C,153.982291,False
C,150.163871,False
C,141.016002,False
C,92.3173114,False
C,164.679388,False
C,170.409218,False
C,137.578294,False
C,179.855532,False
C,147.668963,False
C,103.646681,False
C,165.731426,False
C,187.514501,False
C,138.359025,False
C,150.281344,False
C,131.013167,False
C,114.543283,False
C,150.192621,False
C,119.54878,False
C,130.508275,False
C,118.297668,False
C,159.275898,False
C,140.753392,False
C,126.285998,False
C,145.61619,False
C,102.517826,False
C,113.749345,False
C,160.497623,False
C,125.439499,False
C,73.9109909,False
C,116.650552,False
C,138.051213,False
C,141.493263,False
C,169.556652,False
C,167.479,False
C,110.557643,False
C,145.428954,False
C,221.566615,True
C,161.417256,False
C,159.327543,False
C,165.313182,False
C,148.549054,False
C,109.746918,False
C,125.55675,False
C,163.038291,False
C,170.681056,False
C,112.439677,False
C,159.896366,False
C,92.7565414,False
C,113.806217,False
C,166.003407,False
C,138.325483,False
C,107.351674,False
C,130.413181,False
C,97.3199484,False
C,158.349338,False
C,168.155257,False
C,157.88326,False
C,106.058029,False
C,147.646257,False
C,117.05557,False
C,121.414107,False
C,114.431272,False
C,128.610918,False
C,130.105168,False
C,109.822655,False
C,161.587439,False
C,147.969092,False
C,134.985153,False
C,140.730573,False
C,189.361036,False
C,132.975085,False
C,145.238502,False
C,117.394101,False
C,123.003677,False
C,95.8603101,False
C,104.936937,False
C,144.7376,False
C,113.130841,False
C,158.037806,False
C,111.011038,False
C,150.778849,False
C,165.946804,False
C,690,True
