SECUCODE,SECURITY_CODE,INDUSTRY_CODE,ORG_CODE,SECURITY_NAME_ABBR,INDUSTRY_NAME,MARKET,SECURITY_TYPE_CODE,TRADE_MARKET_CODE,DATE_TYPE_CODE,REPORT_TYPE_CODE,DATA_STATE,NOTICE_DATE,REPORT_DATE,PARENT_NETPROFIT,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_COST,TOE_RATIO,OPERATE_COST,OPERATE_EXPENSE,OPERATE_EXPENSE_RATIO,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,OPERATE_PROFIT,TOTAL_PROFIT,INCOME_TAX,OPERATE_INCOME,INTEREST_NI,INTEREST_NI_RATIO,FEE_COMMISSION_NI,FCN_RATIO,OPERATE_TAX_ADD,MANAGE_EXPENSE_BANK,FCN_CALCULATE,INTEREST_NI_CALCULATE,EARNED_PREMIUM,EARNED_PREMIUM_RATIO,INVEST_INCOME,SURRENDER_VALUE,COMPENSATE_EXPENSE,TOI_RATIO,OPERATE_PROFIT_RATIO,PARENT_NETPROFIT_RATIO,DEDUCT_PARENT_NETPROFIT,DPN_RATIO
300031.SZ,300031,1046,10141578,宝通科技,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-29 00:00:00,2025-06-30 00:00:00,139737229.66,1607108948.28,1480701062.7,1.5994536618,981212951.72,981212951.72,-0.373139593,305952180.91,124643864.55,-3435062.4,179773691.09,178645394.59,29959698,,,,,,8012776.77,,,,,,,,,-6.3210826326,-21.90714494514,-26.73,119114807,-41.60896647734
002862.SZ,002862,1266,10458763,实丰文化,文娱用品,szzb,058001001,069001002001,002,001,2,2026-08-29 00:00:00,2025-06-30 00:00:00,4173996.77,189716187.3,182825555.78,21.3747996205,108514735.21,108514735.21,4.4966607206,47009109.89,17090120.01,3986764.69,2282819.98,2171394.1,-1966218.9,,,,,,651421.42,,,,,,,,,22.046055632,-9.736603766715,69.02,4262399.64,293.749087710088
600715.SH,600715,1046,10004025,文投控股,游戏Ⅱ,shzb,058001001,069001001001,002,001,2,2026-08-29 00:00:00,2025-06-30 00:00:00,4527722.5,178012804.27,178554205.77,-45.8885544324,118359220.21,118359220.21,-26.424149177,424881.88,31724859.56,372702.06,-429903.27,3690746.48,-1202544.6,,,,,,7478904.58,,,,,,,,,-17.0467138389,99.618122405389,102.363448194306,-722056.79,99.395951524016
300043.SZ,300043,1046,10136998,星辉娱乐,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-29 00:00:00,2025-06-30 00:00:00,155053130.96,1135031541.25,951530625.39,8.0066979617,462845811.47,462845811.47,-7.3354914532,314252303.74,159925579.78,-22897351.64,192617865.13,184951884.47,29488524.02,,,,,,7753649.64,,,,,,,,,84.5838240921,174.671069560267,186.78,156509266.43,180.731812863533
002425.SZ,002425,1046,10092118,凯撒文化,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-29 00:00:00,2025-06-30 00:00:00,-58740763,273317514.42,331126129.84,19.1561202864,279173656.35,279173656.35,27.9101697299,4543924.9,32964398.49,1191443.22,-54477642.32,-58767345.95,3051768.66,,,,,,920141.13,,,,,,,,,14.3711866144,9.942514247224,-25.85,-57797405.37,-19.732992170855
603258.SH,603258,1046,10399928,电魂网络,游戏Ⅱ,shzb,058001001,069001001001,002,001,2,2026-08-28 00:00:00,2025-06-30 00:00:00,-9338103.7,194052637.62,212922036.68,-4.4525652641,75481483.02,75481483.02,-5.6998756191,40322435.18,49544913.91,-16586207.66,-11852258.41,-12230214.75,-763024.98,,,,,,4127120.01,,,,,,,,,-28.687311216,-117.193322672675,-115.75,-15604787.51,-138.237139880231
300002.SZ,300002,1046,10102587,神州泰岳,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-28 00:00:00,2025-06-30 00:00:00,509481551.32,2684708514.21,2159845102.53,-8.097945962,1078484028.83,1078484028.83,-6.2825296425,390869895.39,525714793.54,-20359848.92,612397440.25,609702801.24,105613850.87,,,,,,8031704.99,,,,,,,,,-12.0533477959,-15.226374299679,-19.26,487906217.06,-21.016155258014
002174.SZ,002174,1046,10095099,游族网络,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-28 00:00:00,2025-06-30 00:00:00,50155325.14,688045938.53,643017832.92,-6.0710898515,414947779.96,414947779.96,1.5444401529,27891182.82,111680868.12,20881365.89,59851956.5,57382602.73,7229654.61,,,,,,2857246.01,,,,,,,,,-1.9294268771,260.689696258088,989.31,13743268.59,0.847807491977
300533.SZ,300533,1046,10362253,冰川网络,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-28 00:00:00,2025-06-30 00:00:00,335791517.27,1256691657.76,928054393.49,-46.8571927189,90276430.79,90276430.79,-0.0555320858,610315869.25,51127547.27,-3676508.78,351325695.31,350140752.25,5835893.34,,,,,,2176966.08,,,,,,,,,4.2076433843,168.957183799477,165.19,318564926.49,158.533432257006
002602.SZ,002602,1046,10173442,世纪华通,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-28 00:00:00,2025-06-30 00:00:00,2656382756.9,17207085713.7,13902601716.43,78.2077861312,5248556171.53,5248556171.53,56.5042635283,6564252011.01,833684279.9,191589324.52,3255351242,3270438538.68,557907906.81,,,,,,40301381.29,,,,,,,,,85.5006512302,126.624647845909,129.33,2586176808.39,124.431108431998
002605.SZ,002605,1046,10168227,姚记科技,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-28 00:00:00,2025-06-30 00:00:00,255816923.33,1438235475.84,1128872904.82,-28.5375638948,796051053.51,796051053.51,-34.0284143097,105126513.5,124446137.23,16513216.6,313720169.06,312976074.58,44074930.17,,,,,,8497850.83,,,,,,,,,-24.6387250546,-11.259554569665,-9.98,254389195.84,-5.432549003683
300494.SZ,300494,1046,10362228,盛天网络,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-27 00:00:00,2025-06-30 00:00:00,52304287.25,632544789.24,571614869.15,8.1742027035,496955848.99,496955848.99,10.9072144676,21554538.17,24741525.24,-4386558.6,63074427.4,62955758.15,10651470.9,,,,,,1393252.67,,,,,,,,,17.23,129372.943142234,1186.02,50078899.1,2488.28187297798
300459.SZ,300459,1046,10187005,汤姆猫,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-27 00:00:00,2025-06-30 00:00:00,-30326887.12,462864857.58,475825740.23,-0.5320591176,62072077.79,62072077.79,-5.1458872519,142025912.77,133409662.18,52729459.62,-17603016.17,-17393430.85,14488898.74,,,,,,1680096.77,,,,,,,,,-19.6191023804,-117.507511420654,-141.34,-31043360.28,-149.238582785202
301011.SZ,301011,1266,10490675,华立科技,文娱用品,,058001001,069001002002,002,001,2,2026-08-27 00:00:00,2025-06-30 00:00:00,34979627.62,481022849.25,427687785.95,7.6417354675,338596908.81,338596908.81,4.3447180902,27276604.44,31354294.21,4097711.34,45150483.03,43903653.46,8924025.84,,,,,,4384481.52,,,,,,,,,4.1206864625,-2.514370771258,-2.84,35368287.81,-3.142837070988
600892.SH,600892,1046,10004063,大晟文化,游戏Ⅱ,shzb,058001001,069001001001,002,001,2,2026-08-27 00:00:00,2025-06-30 00:00:00,-33727417.93,108778620.36,147228002.09,56.6377012384,32683103.18,32683103.18,385.7413823549,56533635.05,29750690.63,2208551.39,-38826921.43,-39313525.98,312047.38,,,,,,337621.26,,,,,,,,,39.1139847437,-197.466386465895,-116.836775442532,-33498443.95,-95.961807340489
002558.SZ,002558,1046,10163071,巨人网络,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-27 00:00:00,2025-06-30 00:00:00,777048091.04,1662199977.45,1251239820.07,21.5928771051,153288427.92,153288427.92,-7.2492417821,595053771.27,102806001.7,6381882.89,792806116.95,797761456.87,12164560.51,,,,,,16982563.17,,,,,,,,,16.4709125987,5.420123558356,8.27,806621940.16,-8.793738627727
002517.SZ,002517,1046,10180962,恺英网络,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-27 00:00:00,2025-06-30 00:00:00,950036574.11,2578013164.35,1619180095.17,-5.8797414221,454232392.02,454232392.02,-1.1709676252,866394493.9,78361248.48,-24434275.79,977000368.05,974738616.32,25363416.22,,,,,,10370338.19,,,,,,,,,0.8944970925,16.089322131079,17.41,938577389.54,17.177303820808
300467.SZ,300467,1046,10268119,迅游科技,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-26 00:00:00,2025-06-30 00:00:00,11711530.37,143473025.37,135285291.28,-2.742085366,60559978.23,60559978.23,-2.4339317808,31083920.93,21458432.31,-5825777.09,12966159.08,12966420.71,226272.78,,,,,,819434.92,,,,,,,,,-7.386218264,-39.619170111645,-32.01,9618409.34,-32.028415147746
002919.SZ,002919,1046,10541405,名臣健康,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-26 00:00:00,2025-06-30 00:00:00,41062613.12,711668800.05,673425511.37,14.4735758176,329242376.05,329242376.05,33.6120866609,267349883.84,46851976.38,133359.36,37198562.42,36657751.62,-4399777.76,,,,,,2042234.89,,,,,,,,,7.0732765469,-44.101349414318,-31.97,40763947.62,-30.450079802349
002555.SZ,002555,1046,10163070,三七互娱,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-26 00:00:00,2025-06-30 00:00:00,1400246950.03,8486116689.62,6958794617.16,-11.1598623888,1976706274.51,1976706274.51,5.1034870793,4410194833.32,296824781.9,-86935899.78,1621479317.48,1609343295.92,208478502.79,,,,,,24563454.82,,,,,,,,,-8.0790175161,10.249450540009,10.72,1387236352.38,8.834206783464
300113.SZ,300113,1046,10147589,顺网科技,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-25 00:00:00,2025-06-30 00:00:00,161515588.23,1010254108.58,835538608.05,20.9270475535,618204967.08,618204967.08,28.8756286139,50566594.58,82706052.24,2287929.27,193637399.74,193504113.26,14785690.46,,,,,,4858127.12,,,,,,,,,25.0935152975,58.19163392746,69.22,140188637.77,54.209562725894
300315.SZ,300315,1046,10196663,掌趣科技,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-21 00:00:00,2025-06-30 00:00:00,47787269.44,358007707.92,317219877.73,-16.8944756826,94010160.72,94010160.72,-9.8133418302,93213183.77,49673478.47,-54743224.26,47071870.13,47148707.35,-638562.09,,,,,,1140210.98,,,,,,,,,-23.4410584942,-67.55397692008,-65.58,50316130.34,-57.721518641752
002624.SZ,002624,1046,10175652,完美世界,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-20 00:00:00,2025-06-30 00:00:00,503205318.94,3690992631.88,3185320896.55,11.2612670491,1598970559.7,1598970559.7,64.9307321667,329799545.99,335595878.5,-33352688.82,703890825.69,708157694.72,200857770.47,,,,,,12107383.96,,,,,,,,,33.7357651139,432.104260869019,384.52,318082847.73,235.121831713364
600633.SH,600633,1046,10003943,浙数文化,游戏Ⅱ,shzb,058001001,069001001001,002,001,2,2026-08-15 00:00:00,2025-06-30 00:00:00,377376702.3,1413986110.66,1187208713.96,3.6279182917,626873894.61,626873894.61,19.2923063829,165218816.62,200478856.6,-492450.32,410071417.95,410101192.27,38645551.16,,,,,,7584659.02,,,,,,,,,0.0948842707,129.583407538564,156.26,202833054.42,0.135502271005
603444.SH,603444,1046,10277263,吉比特,游戏Ⅱ,shzb,058001001,069001001001,002,001,2,2026-08-14 00:00:00,2025-06-30 00:00:00,644681109.59,2517901776.64,1578454855.82,23.096079425,193504299.98,193504299.98,-16.2091609806,836366399.66,206167241.05,-30575340.12,950425621.49,950210927.18,130424499,,,,,,16091166.84,,,,,,,,,28.4873774517,29.390686710947,24.5,647738714.52,40.021984290236
300299.SZ,300299,1046,10197998,富春股份,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-07-28 00:00:00,2025-06-30 00:00:00,-9705274.15,181534071.92,186707646.89,25.5237724769,94220338.14,94220338.14,17.3486015786,35800547.37,25358998.65,3388832.02,-9593261.56,-9581159.84,3744431.96,,,,,,972613.9,,,,,,,,,64.3512948222,78.554339661919,70.52,-11095320.89,68.162904342793
