date,code,close
2024-09-23,BK0490,39905.530000
2024-09-24,BK0490,41132.870000
2024-09-25,BK0490,41652.710000
2024-09-26,BK0490,42843.550000
2024-09-27,BK0490,45096.690000
2024-09-30,BK0490,50405.060000
2024-10-08,BK0490,55782.870000
2024-10-09,BK0490,50881.150000
2024-10-10,BK0490,51009.380000
2024-10-11,BK0490,48468.500000
2024-10-14,BK0490,50800.520000
2024-10-15,BK0490,50460.170000
2024-10-16,BK0490,50488.360000
2024-10-17,BK0490,50660.230000
2024-10-18,BK0490,52506.310000
2024-10-21,BK0490,54613.840000
2024-10-22,BK0490,54513.000000
2024-10-23,BK0490,55384.170000
2024-10-24,BK0490,54808.180000
2024-10-25,BK0490,55788.670000
2024-10-28,BK0490,57051.650000
2024-10-29,BK0490,56208.280000
2024-10-30,BK0490,56465.960000
2024-10-31,BK0490,57522.520000
2024-11-01,BK0490,54889.150000
2024-11-04,BK0490,56266.890000
2024-11-05,BK0490,58888.650000
2024-11-06,BK0490,59794.270000
2024-11-07,BK0490,60494.230000
2024-11-08,BK0490,61525.360000
2024-11-11,BK0490,63261.910000
2024-11-12,BK0490,61747.400000
2024-11-13,BK0490,61756.370000
2024-11-14,BK0490,59708.070000
2024-11-15,BK0490,58014.470000
2024-11-18,BK0490,56484.700000
2024-11-19,BK0490,58036.660000
2024-11-20,BK0490,59430.140000
2024-11-21,BK0490,59749.570000
2024-11-22,BK0490,57667.320000
2024-11-25,BK0490,57932.060000
2024-11-26,BK0490,57075.190000
2024-11-27,BK0490,58349.520000
2024-11-28,BK0490,58241.900000
2024-11-29,BK0490,59190.160000
2024-12-02,BK0490,60534.820000
2024-12-03,BK0490,60638.310000
2024-12-04,BK0490,60038.430000
2024-12-05,BK0490,61162.640000
2024-12-06,BK0490,61484.170000
2024-12-09,BK0490,61087.780000
2024-12-10,BK0490,61878.970000
2024-12-11,BK0490,62442.110000
2024-12-12,BK0490,62785.280000
2024-12-13,BK0490,61300.550000
2024-12-16,BK0490,60531.740000
2024-12-17,BK0490,58358.700000
2024-12-18,BK0490,58840.070000
2024-12-19,BK0490,59056.960000
2024-12-20,BK0490,59852.030000
2024-12-23,BK0490,57269.220000
2024-12-24,BK0490,57738.880000
2024-12-25,BK0490,56507.560000
2024-12-26,BK0490,57552.060000
