date,code,close
2026-03-16,BK1646,1008.420000
2026-03-17,BK1646,978.250000
2026-03-18,BK1646,996.510000
2026-03-19,BK1646,970.440000
2026-03-20,BK1646,951.160000
2026-03-23,BK1646,898.310000
2026-03-24,BK1646,924.670000
2026-03-25,BK1646,945.950000
2026-03-26,BK1646,927.640000
2026-03-27,BK1646,937.990000
2026-03-30,BK1646,933.900000
2026-03-31,BK1646,916.300000
2026-04-01,BK1646,939.030000
2026-04-02,BK1646,916.410000
2026-04-03,BK1646,907.340000
2026-04-07,BK1646,918.920000
2026-04-08,BK1646,972.460000
2026-04-09,BK1646,972.480000
2026-04-10,BK1646,986.090000
2026-04-13,BK1646,993.670000
2026-04-14,BK1646,1008.010000
2026-04-15,BK1646,1001.010000
2026-04-16,BK1646,1015.620000
2026-04-17,BK1646,1027.390000
2026-04-20,BK1646,1039.120000
2026-04-21,BK1646,1036.920000
2026-04-22,BK1646,1054.010000
2026-04-23,BK1646,1037.150000
2026-04-24,BK1646,1033.880000
2026-04-27,BK1646,1052.790000
2026-04-28,BK1646,1033.710000
2026-04-29,BK1646,1046.370000
2026-04-30,BK1646,1054.670000
2026-05-06,BK1646,1080.160000
2026-05-07,BK1646,1108.590000
2026-05-08,BK1646,1119.100000
2026-05-11,BK1646,1145.140000
2026-05-12,BK1646,1136.340000
2026-05-13,BK1646,1158.130000
2026-05-14,BK1646,1142.850000
2026-05-15,BK1646,1134.450000
2026-05-18,BK1646,1152.570000
2026-05-19,BK1646,1169.640000
2026-05-20,BK1646,1172.650000
2026-05-21,BK1646,1136.210000
2026-05-22,BK1646,1174.220000
2026-05-25,BK1646,1195.830000
2026-05-26,BK1646,1187.920000
2026-05-27,BK1646,1174.420000
2026-05-28,BK1646,1191.420000
2026-05-29,BK1646,1133.760000
2026-06-01,BK1646,1128.520000
2026-06-02,BK1646,1145.780000
2026-06-03,BK1646,1149.980000
2026-06-04,BK1646,1154.010000
2026-06-05,BK1646,1153.650000
2026-06-08,BK1646,1107.640000
2026-06-09,BK1646,1143.580000
2026-06-10,BK1646,1114.160000
2026-06-11,BK1646,1096.920000
2026-06-12,BK1646,1091.240000
2026-06-15,BK1646,1146.700000
2026-06-16,BK1646,1181.720000
2026-06-17,BK1646,1201.470000
2026-06-18,BK1646,1213.500000
2026-06-22,BK1646,1220.850000
2026-06-23,BK1646,1203.910000
2026-06-24,BK1646,1216.620000
2026-06-25,BK1646,1225.070000
2026-06-26,BK1646,1188.510000
2026-06-29,BK1646,1167.350000
2026-06-30,BK1646,1218.520000
2026-07-01,BK1646,1221.950000
2026-07-02,BK1646,1188.010000
2026-07-03,BK1646,1190.510000
2026-07-06,BK1646,1161.660000
2026-07-07,BK1646,1137.400000
2026-07-08,BK1646,1111.010000
2026-07-09,BK1646,1144.900000
2026-07-10,BK1646,1128.400000
2026-07-13,BK1646,1058.130000
2026-07-14,BK1646,1073.480000
2026-07-15,BK1646,1046.480000
2026-07-16,BK1646,1026.790000
2026-07-17,BK1646,953.410000
2026-07-20,BK1646,906.040000
2026-07-21,BK1646,954.460000
2026-07-22,BK1646,940.870000
2026-07-23,BK1646,942.290000
2026-07-24,BK1646,926.000000
2026-07-27,BK1646,959.720000
2026-07-28,BK1646,930.220000
2026-07-29,BK1646,937.720000
2026-07-30,BK1646,894.230000
2026-07-31,BK1646,925.360000
2026-08-03,BK1646,920.370000
2026-08-04,BK1646,955.880000
2026-08-05,BK1646,994.220000
2026-08-06,BK1646,1004.280000
2026-08-07,BK1646,1024.970000
2026-08-10,BK1646,1025.620000
2026-08-11,BK1646,1024.390000
2026-08-12,BK1646,1039.790000
2026-08-13,BK1646,1026.340000
2026-08-14,BK1646,1037.790000
2026-08-17,BK1646,1069.600000
2026-08-18,BK1646,1065.970000
2026-08-19,BK1646,995.840000
2026-08-20,BK1646,1008.950000
2026-08-21,BK1646,1017.990000
2026-08-24,BK1646,997.560000
2026-08-25,BK1646,1009.670000
2026-08-26,BK1646,1008.290000
2026-08-27,BK1646,1036.360000
2026-08-28,BK1646,1028.370000
2026-08-31,BK1646,1055.140000
2026-09-01,BK1646,1043.600000
2026-09-02,BK1646,1036.560000
2026-09-03,BK1646,1035.520000
2026-09-04,BK1646,1015.280000
2026-09-07,BK1646,1039.050000
2026-09-08,BK1646,1030.880000
2026-09-09,BK1646,1022.370000
2026-09-10,BK1646,1009.190000
2026-09-11,BK1646,995.420000
2026-09-14,BK1646,1008.230000
2026-09-15,BK1646,1003.190000
2026-09-16,BK1646,1032.200000
2026-09-17,BK1646,1032.210000
2026-09-18,BK1646,1057.820000
2026-09-21,BK1646,1071.370000
2026-09-22,BK1646,1079.600000
2026-09-23,BK1646,1078.910000
2026-09-24,BK1646,1055.530000
