方案 A,方案 B,方案 C
38.01998407360665,36.64373884150394,48.11029239542384
30.929659133302405,51.11844228882015,38.35007944821083
40.496233433442725,26.51123855470564,33.38599212607596
26.679603184707695,38.58296807888275,45.68394662058894
33.65103888365752,28.38825664456904,39.497672121420884
40.901641104255546,47.50472482206864,53.91640003012455
41.960843489620146,36.16181639624103,50.20801556193923
45.39342615405559,35.37332461961487,26.06425330630561
32.68092614530793,46.880681108594025,37.47283796546818
37.86547130206805,26.92071631530527,46.440157049862805
23.22743246267254,39.20432923035248,53.62808403491013
33.61763284024332,28.78224319803007,43.50029824303287
29.226361693101424,24.713355199522546,50.45781992482895
27.0527868289791,39.11364958587865,61.322291816811514
30.178024609322726,40.59065679750012,39.25730146296126
36.862419198827965,28.40008244761455,39.72471102805181
42.17631152660058,43.61535269985732,48.063866943305406
52.34564603737757,33.73194286355647,51.0867815140947
27.747653132461366,32.061226938316175,60.42959702374623
36.94706418686618,31.93465155356693,53.987208325561575
39.97632812508867,37.5882638697736,51.56082360775357
41.159771729232475,46.86444900883588,51.85448737048953
49.07321339658218,32.71022297895624,49.24197588292502
40.23195875943895,34.94277686467219,42.46401804016103
49.22649951562667,46.40681333127286,53.91295823364904
39.95079308950864,37.25378017587299,46.57227390723989
33.74654523933745,47.716091223624915,47.2888386374256
32.86916072454639,45.0790086026139,48.74061878474434
34.832711331380246,34.903293964487354,54.68513009998666
26.23881531779906,58.71541817643964,29.73642368127231
34.66527594255212,49.96067097193811,24.861666441403443
27.53207520511679,38.96373293690364,35.75237323525877
26.317562423694877,51.458982934965256,57.13929880465391
26.993573827778725,55.875719146069535,38.5591006300417
35.42915415503787,39.30824863797293,44.19719784202879
32.657315613252024,32.226642474121036,62.956883579965535
29.943187646387102,46.19465832739079,43.981072718350276
27.59640140596564,47.21154235895027,46.09864359010761
42.87574188422454,35.53317716086538,39.69445705209062
35.41362004348054,53.55051486268961,44.204711219490044
29.985309551281755,30.809983824526576,57.83443411516175
31.723535612349142,31.57296327695436,46.11998519184398
42.10681930777073,43.03333307709319,26.289558571559766
35.80897561406596,53.34105430490331,40.20508676366969
54.625916401188945,35.64477982767731,49.392903884306016
31.10061938660832,28.687471175898388,54.71667966459249
24.620327026354047,28.508504013153697,41.056056236322966
44.0868432359484,46.185731027606764,39.473171915509965
42.18453748329347,53.39798781899562,56.782003199630054
44.22166927980794,38.60173204346888,54.9465585897585
28.158018618667004,29.56880112329715,39.66008698695696
23.021065572282364,43.16686650627518,48.043294843881135
48.34960998491172,42.52434413512064,59.806662423248326
27.91245783548572,34.64498135757124,40.256607253792076
36.72579185037399,43.91758803575342,46.98167075488594
48.09029376763182,53.7551892323419,48.20384739979734
41.49025840063718,40.567675258927096,43.48726253211294
37.73263660004671,28.51859808101326,61.63399212823131
17.401585114770256,41.19501762763823,34.5657236367082
41.15667000259049,30.973014001051496,73.5435968351213
