日期,开盘,最高,最低,收盘
2026-01-01,99.84860807505247,103.29733944681124,99.07962560425008,102.05833650323189
2026-01-02,99.896970516566,101.86169066196571,98.10209528546459,99.71383734738066
2026-01-03,102.73504784883578,104.19789742581868,97.1708207128111,98.31028032349151
2026-01-04,104.09988325465224,105.44232112605994,102.607956405994,104.62823143299106
2026-01-05,102.94568747620711,104.42616540587362,101.26850076987846,103.02563440208131
2026-01-06,106.00727526871098,109.28132441016693,105.38482851643671,107.53489480680142
2026-01-07,105.62537576212024,106.94938879365063,103.83005924268498,105.35972815291017
2026-01-08,106.08534850527352,107.96868768958505,105.28193987456231,106.86717664642822
2026-01-09,106.95836744960518,107.59431326962604,103.45880142726728,104.4584047460934
2026-01-10,105.78886161913627,107.04187502240367,101.5351896839424,103.04316438022082
2026-01-11,104.53229384504117,105.24884789746103,99.22422422173942,100.45524324120113
2026-01-12,104.44692322641039,107.12352909565992,103.00795072763864,106.50251594158271
