basket_id,面包,咖啡,牛奶,黄油,纸尿裤,啤酒,鸡蛋,纸巾
0,True,False,False,False,False,False,True,True
1,False,False,False,False,False,False,False,True
2,False,False,True,False,False,False,True,False
3,False,False,False,False,False,True,True,True
4,True,False,True,False,False,False,True,False
5,False,False,False,False,True,False,False,False
6,False,True,False,False,False,False,False,True
7,False,False,False,False,False,False,True,False
8,True,False,True,True,False,True,False,True
9,False,False,False,False,False,False,False,True
10,False,True,True,False,False,False,True,False
11,False,False,False,False,False,False,False,True
12,False,False,True,False,True,False,False,True
13,True,False,False,False,False,False,False,True
14,False,False,False,False,False,False,False,True
15,False,False,False,False,False,False,False,False
16,False,False,False,False,False,False,False,False
17,True,False,False,True,False,True,False,True
18,True,False,False,False,False,False,False,False
19,True,True,True,True,False,False,False,False
20,False,True,False,False,False,False,False,True
21,False,False,False,False,False,True,False,True
22,False,False,False,False,False,False,False,False
23,False,False,False,False,False,True,False,False
24,True,False,True,True,False,False,False,True
25,True,False,False,True,False,False,False,True
26,False,False,False,False,False,True,True,False
27,False,False,False,False,True,True,True,True
28,True,False,True,False,True,False,False,True
29,False,False,False,False,False,False,True,True
30,True,False,True,False,False,False,False,False
31,False,False,False,False,False,False,False,True
32,True,False,True,True,False,False,False,False
33,True,False,True,True,False,False,False,True
34,True,False,True,False,False,False,True,True
35,False,True,False,False,False,False,False,True
36,True,True,True,True,False,True,True,False
37,False,False,False,False,False,False,False,True
38,True,False,False,True,False,False,False,True
39,False,True,False,True,False,False,False,True
40,True,False,True,False,False,False,False,False
41,False,False,False,False,True,True,False,True
42,True,False,True,False,False,True,False,False
43,False,True,True,False,False,False,False,True
44,False,False,False,False,False,False,False,False
45,False,False,False,False,False,True,True,True
46,False,True,True,False,False,True,True,False
47,True,False,True,False,False,False,False,False
48,True,True,True,True,True,False,False,True
49,False,False,True,False,False,True,False,True
50,False,False,False,False,False,False,False,False
51,False,False,True,False,False,True,False,True
52,True,False,True,False,False,False,True,True
53,False,False,False,False,False,False,False,True
54,True,False,True,True,True,True,False,True
55,False,False,False,False,True,False,False,True
56,False,True,False,False,True,True,False,True
57,False,True,False,False,True,False,False,True
58,True,False,False,True,False,False,False,True
59,True,False,True,False,True,False,True,False
60,False,False,False,False,False,True,True,False
61,True,False,False,True,False,False,False,False
62,False,False,False,False,False,True,False,False
63,False,True,False,False,False,False,True,True
64,False,False,False,False,False,True,True,False
65,True,False,True,False,False,False,False,True
66,False,False,False,False,False,False,False,False
67,True,True,True,True,False,False,False,True
68,True,False,False,True,False,True,False,False
69,True,False,True,False,False,False,False,True
70,False,False,False,False,False,True,False,False
71,True,False,True,False,False,False,False,True
72,True,False,True,True,False,False,False,True
73,False,False,True,False,False,False,False,False
74,False,False,False,False,False,False,False,True
75,False,True,False,False,False,False,False,True
76,False,False,False,False,False,False,False,True
77,True,False,False,False,True,True,True,True
78,False,False,True,False,False,True,True,True
79,True,False,True,False,False,False,False,False
80,False,False,False,False,True,False,False,True
81,False,False,False,False,False,False,True,True
82,False,False,False,True,True,False,False,True
83,True,False,True,False,False,False,False,False
84,True,False,False,False,False,False,True,True
85,False,False,False,False,False,False,False,True
86,True,False,True,True,False,False,False,True
87,True,False,True,False,False,True,False,True
88,False,False,False,False,False,False,False,False
89,False,False,False,False,False,False,False,True
90,False,True,False,False,False,False,True,True
91,False,False,False,False,False,False,False,False
92,False,True,False,False,False,False,False,False
93,False,True,False,False,False,False,False,False
94,True,False,False,False,False,False,True,False
95,True,True,True,True,False,False,False,True
96,False,True,False,False,False,False,False,False
97,False,False,False,False,False,False,False,True
98,True,False,True,True,False,False,False,False
99,False,False,False,False,False,False,False,False
100,True,False,True,False,False,False,True,True
101,False,True,False,False,False,False,True,True
102,True,True,True,False,False,False,True,True
103,False,True,False,False,False,False,True,True
104,False,True,True,False,False,False,False,True
105,True,False,True,True,False,False,False,True
106,False,False,False,False,False,False,False,True
107,False,False,False,False,False,False,False,False
108,True,False,True,False,False,False,True,False
109,False,True,True,False,False,False,False,False
110,False,False,False,False,False,False,True,True
111,True,True,True,True,False,False,True,True
112,True,False,True,True,False,False,True,False
113,True,False,False,True,False,False,False,True
114,False,False,False,False,False,False,False,True
115,False,False,True,False,True,False,False,False
116,False,True,False,False,False,False,True,False
117,True,False,False,False,False,False,False,True
118,True,False,True,False,False,False,False,True
119,True,False,True,False,False,True,False,True
120,False,False,False,False,False,False,False,True
121,True,False,False,True,True,False,True,True
122,False,True,False,False,False,False,False,False
123,True,False,True,False,False,False,False,True
124,False,True,True,False,False,False,False,True
125,True,False,False,False,False,False,False,True
126,True,True,True,False,False,False,False,True
127,False,False,False,False,True,False,False,False
128,True,False,True,False,False,False,False,False
129,False,False,False,False,False,False,False,False
130,True,False,False,True,False,True,True,False
131,True,True,True,False,False,False,False,True
132,False,False,False,False,False,False,False,True
133,True,False,True,False,False,False,False,True
134,True,False,False,False,False,True,False,False
135,False,False,False,False,False,False,True,False
136,True,True,True,False,False,False,True,True
137,False,True,False,False,False,True,False,False
138,False,True,False,False,False,False,False,True
139,False,False,False,False,False,False,True,True
140,False,False,True,False,False,False,False,True
141,True,False,False,False,False,False,False,True
142,False,True,True,False,False,False,False,False
143,True,False,False,True,False,False,False,False
144,False,False,False,False,False,False,False,False
145,False,False,False,False,False,True,False,True
146,False,False,False,True,False,False,False,False
147,True,False,True,False,False,False,False,True
148,True,False,True,True,False,True,False,False
149,True,True,True,False,False,False,True,True
150,False,False,False,False,False,False,True,False
151,False,False,False,False,False,False,True,False
152,False,False,False,False,True,False,False,True
153,False,False,False,False,False,False,False,False
154,True,False,True,True,False,False,False,False
155,True,False,True,False,False,False,False,False
156,False,False,False,False,False,False,False,False
157,True,True,False,False,True,True,False,True
158,False,False,False,False,False,False,False,True
159,False,True,False,False,True,False,True,False
160,False,True,False,False,False,True,False,True
161,True,False,False,False,False,False,True,True
162,False,False,False,False,False,True,False,False
163,True,False,True,True,True,True,False,True
164,False,False,False,False,False,True,False,True
165,True,False,True,True,False,False,True,False
166,False,False,False,False,False,False,True,True
167,True,True,True,True,False,False,False,True
168,True,False,True,False,False,False,True,True
169,False,True,False,False,False,False,False,False
170,False,False,False,False,False,False,False,True
171,False,False,False,False,False,False,True,True
172,True,False,True,False,False,False,False,True
173,False,False,False,False,False,False,False,True
174,False,False,False,False,False,False,False,True
175,False,False,False,True,False,False,False,False
176,False,False,False,False,False,False,False,True
177,True,False,True,True,False,False,False,True
178,False,False,False,False,False,False,False,False
179,False,False,True,False,False,False,False,True
180,True,False,False,False,False,False,False,True
181,False,False,False,False,False,True,False,False
182,True,True,True,False,False,True,False,False
183,False,False,False,False,False,False,False,True
184,True,False,False,True,False,True,False,False
185,False,False,False,False,False,True,False,True
186,True,False,False,False,False,False,True,False
187,True,False,True,True,True,False,True,True
188,False,False,False,False,False,False,False,True
189,True,False,False,False,False,False,True,False
190,False,False,False,False,True,True,False,True
191,False,True,False,False,True,True,True,True
192,False,False,False,False,False,True,False,True
193,False,False,False,False,False,False,False,False
194,True,True,True,True,True,True,False,True
195,True,False,True,False,True,False,True,False
196,False,True,False,False,True,False,False,True
197,False,False,False,False,False,False,True,False
198,False,True,False,False,False,False,False,False
199,False,False,True,False,False,True,False,True
200,False,True,True,False,False,False,True,True
201,True,False,True,False,False,False,True,True
202,False,True,False,False,True,True,False,False
203,False,False,False,False,False,False,True,True
204,False,False,False,False,False,False,True,False
205,True,False,True,True,False,False,False,True
206,False,False,False,False,False,True,True,True
207,True,True,True,False,False,True,True,False
208,True,False,True,True,False,False,False,False
209,False,False,False,False,False,False,False,True
210,False,True,False,False,True,True,False,False
211,True,False,False,False,False,False,False,False
212,False,False,False,True,False,True,True,True
213,False,False,False,False,True,False,False,True
214,False,False,False,False,False,False,False,True
215,True,False,True,False,True,True,False,False
216,True,False,True,True,False,True,False,False
217,False,False,False,False,False,False,True,True
218,True,False,False,False,False,False,True,True
219,False,False,False,False,False,False,False,True
220,True,False,True,False,False,False,True,True
221,False,True,True,True,False,False,True,False
222,False,True,False,False,True,True,False,False
223,False,False,False,False,True,False,False,True
224,True,False,False,True,False,False,False,True
225,False,True,False,False,False,False,True,False
226,False,False,False,False,True,True,False,True
227,False,False,False,False,False,False,True,True
228,True,False,False,False,False,False,False,True
229,False,False,False,False,False,True,False,False
230,True,False,False,False,False,True,False,True
231,True,False,False,False,False,False,True,True
232,False,False,False,False,True,True,False,True
233,False,False,True,False,False,False,False,True
234,True,False,False,False,False,True,False,True
